Top25perc,Room.Board,Grad.Rate,PhD_trans,Apps_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
52,3300,60,2378.8185817845842,0.027794170542252482,-0.053119072030679164,0.4335994064806973,0.3001555111149251,-0.6934490715406573,-0.6142542984789047,1.2713984993834921,-0.29078845475452025,-0.28237352323745246,1.0179463816947247,-0.7227012651918747,-0.49118269843375684,-0.032372339112454566,-1.0987972149572356,0.6125530498969481
29,6450,56,410.6877741852075,0.2829202044206749,-0.5849046607537621,0.36538161940562885,0.8682389489526622,0.5562683365380878,1.3023649764046783,0.4565508868862346,-2.1792584156981274,-2.2481293668347866,-0.43508339754859504,-0.28448920152158647,0.5523622369819019,0.9061926295687938,0.3581403891754813,0.6125530498969481
50,3750,54,1366.4473002878658,-0.11391602631457269,-0.12094221917214974,-0.6367744332943974,-0.7272538841097254,0.32201070401890103,-1.0385747644227592,-0.06865514297677516,-1.2621836217050806,-1.0407110988557453,-0.2502164792374274,0.696881263144984,0.09639280596058719,0.14474993126166572,0.3581403891754813,0.6125530498969481
89,5450,59,4100.645683375967,-1.3327694509817887,1.6144757210802636,-1.5312067984905091,-0.9740319705249556,0.7039260224445798,-0.6142542984789047,-0.6517337337581389,1.3613470368188663,1.3645882269351624,-1.7418718980861345,1.0294623131395182,1.726997292492287,0.6122251618760879,0.3581403891754813,0.6125530498969481
44,4120,15,2802.3817071667036,-2.15304958766458,-0.5849046607537621,-2.5889009383551747,0.6254175275588529,-0.6567761844143083,1.5536080298286021,0.4565508868862346,0.11563079124223473,-0.6870519494859656,-0.5155706927336406,-3.1179783991407715,0.6370436045066592,0.06495494735718245,-1.0987972149572356,0.6125530498969481
62,3335,55,2729.389301911995,-0.9831669114228405,0.7690207208177242,-1.1550990508649248,-1.1985700260580425,0.817596785733177,-0.2291946039516519,-1.1697588648030377,0.045592781487855547,-0.6232192944825511,-1.22018114926161,-0.8534518760234878,0.3648514210769269,0.4699427534045053,0.3581403891754813,0.6125530498969481
45,5720,63,3924.9469571113714,-1.5063000160279127,-0.4994689411839057,-1.8150655120615597,-0.2364992154928749,0.7737527961030578,-0.2291946039516519,0.4565508868862346,1.1927597836517578,0.9692990979140862,-0.6241261617099947,0.47121122188858366,0.13304593063730483,1.4709627437747088,0.3581403891754813,0.6125530498969481
68,4826,73,3838.5344321060197,0.15310561817763538,0.7226458157909562,-0.15706162447411603,-1.323847012672887,0.893359908024116,-0.6142542984789047,-0.7100928488101287,1.109844838622803,1.6789026453905742,-0.043655143285563025,1.0294623131395182,0.7502823344555293,1.0802869864699451,0.3581403891754813,0.6125530498969481
63,4400,80,3027.1136463166717,-0.41935890159128253,0.3687770077049723,-0.7104745655794537,-0.06079782059427027,1.2322935057020183,-2.048308048513365,-1.7565250579131293,0.33126661926272183,0.17590711389826053,-0.6789541283407586,0.2788113855351543,0.7802351502105349,0.4173714627910875,1.8150779933081982,0.6125530498969481
44,3380,52,779.8226527031046,-0.9918073458047852,-0.1910995085854955,-0.9486144612853745,-0.8587961830100914,0.13456411411234906,0.8108421980583805,0.8415717373961816,-1.8250644124713284,-2.0259049331637793,-0.6241261617099947,-0.3835201634208818,0.17002953770072857,0.7396977547397244,0.3581403891754813,0.6125530498969481
